P1797_RNA_01	P1797_RNA_02	P1797_RNA_03	P1797_RNA_04	P1797_RNA_05	P1797_RNA_06	P1797_RNA_07	P1797_RNA_08	P1797_RNA_09	P1797_RNA_10	P1797_RNA_11	P1797_RNA_12	P1797_RNA_13	P1797_RNA_14	P1797_RNA_15	P1797_RNA_16	P1797_RNA_17	P1797_RNA_18	P1797_RNA_19	P1797_RNA_20	P1797_RNA_21	P1797_RNA_22	P1797_RNA_23	P1797_RNA_24
ENSMUSG00000096283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059498	75	67	61	149	35	75	41	63	121	401	237	88	840	3362	535	324	767	813	1547	621	3656	5202	7355	4136
ENSMUSG00000082223	0	0	0	0	0	3	0	0	0	5	5	0	0	0	0	2	0	0	0	5	0	0	0	0
ENSMUSG00000047810	552	317	314	727	279	392	303	880	665	562	375	181	392	1238	483	525	1018	532	677	894	1412	2209	1566	2180
ENSMUSG00000058643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
ENSMUSG00000038217	1977	1960	2091	1555	1490	1582	1305	1855	1760	1741	2235	1851	816	670	1212	1773	1572	598	1438	1363	1560	766	1070	1147
ENSMUSG00000051590	1	1	1	1	1	3	3	1	0	0	0	0	0	4	0	1	3	4	0	0	21	80	7	2
ENSMUSG00000027519	11006	9365	10434	11396	10072	8634	8584	11091	9946	7833	11827	7077	5536	9316	11247	11135	11411	5029	9714	9212	10190	7977	8815	8320
ENSMUSG00000038623	100	26	45	157	44	72	38	136	86	178	141	61	127	356	52	133	298	128	209	253	620	1538	1184	726
ENSMUSG00000024063	4548	3282	3788	1390	6950	4716	4430	2132	1480	1793	3016	3277	1884	1397	2570	871	1933	1728	3072	1571	4160	5025	2824	2530
ENSMUSG00000047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114676	18	18	22	51	46	31	13	61	53	55	48	43	64	47	51	46	110	53	91	86	56	46	60	39
ENSMUSG00000019820	9077	7953	9027	8758	10059	9708	7512	7187	7340	4130	9802	6818	5170	7016	10544	6462	6742	2355	4168	5330	5811	7891	9011	4363
ENSMUSG00000091785	7	12	23	0	9	18	2	7	6	10	14	4	0	0	9	2	8	0	3	6	3	2	0	0
ENSMUSG00000037703	10838	10886	12435	11910	8364	8547	8044	15276	13905	6285	11421	8110	5551	9158	10205	7176	6940	3666	8000	5925	9332	8087	7121	4879
ENSMUSG00000090225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020922	6930	5401	5804	4697	5126	5272	4918	6285	5947	6129	7830	5132	4117	4650	6079	5015	6507	2749	5279	5036	5663	4642	4556	4680
ENSMUSG00000095163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031816	1901	2010	2383	1442	1522	1639	1399	2074	1994	1414	2256	1672	1082	1336	1988	1716	1177	779	1392	867	1703	1622	1572	1120
ENSMUSG00000002870	5748	7166	8291	1493	2719	5160	3198	4584	4397	3716	7831	3583	1732	4780	5599	4848	2108	1690	3295	1620	4369	4647	3594	1898
ENSMUSG00000081676	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSMUSG00000040483	12514	5638	6453	6512	13513	18660	17086	6155	6735	5202	7453	9591	10973	11295	11225	9221	6962	2020	4259	5214	3472	4794	4837	4607
ENSMUSG00000040714	218	256	273	166	191	225	272	271	251	160	364	229	185	105	326	177	95	145	344	91	322	191	232	228
ENSMUSG00000042429	162	123	112	246	121	110	95	108	61	100	219	118	43	36	119	37	96	49	78	90	126	130	57	59
ENSMUSG00000028780	7624	6652	6992	17598	9418	8488	6983	7571	7575	6214	10461	7574	6772	11803	13078	11783	13736	3370	4737	10281	7345	6214	8433	8110
ENSMUSG00000047675	88981	99847	111802	41949	55837	71842	58762	68220	79872	78627	116384	108693	70228	60419	89472	57250	59527	46884	83700	47880	100528	71772	84682	54879
ENSMUSG00000005615	10817	8323	9084	11688	9825	8926	9172	11105	10500	7555	12073	6454	6870	9155	11682	9486	11861	4096	7916	9134	8200	8560	9955	9236
ENSMUSG00000049353	1	0	0	0	0	0	0	2	1	0	0	0	2	2	0	0	3	0	4	0	9	6	5	4
ENSMUSG00000071657	6696	6310	7449	3764	4568	5853	5213	4873	5978	5307	6785	6511	4261	3530	5381	4870	3619	2992	6182	3008	7308	3787	3801	2905
ENSMUSG00000054814	2667	2343	2642	2469	2581	2397	1820	3209	3294	2915	4337	3173	1774	3118	3493	3825	2602	1140	1968	2123	3004	2625	3137	1768
ENSMUSG00000025466	4448	4082	4662	2303	3385	3403	3775	3109	4329	3815	4199	4000	4696	2868	3607	1984	3307	2044	4358	2616	3875	2654	2029	3078
ENSMUSG00000078812	71169	96881	110171	38614	44990	58760	49258	53532	60711	70383	80830	60558	37183	49906	75900	57245	47456	29043	62708	38681	63887	47884	56857	44470
ENSMUSG00000052914	7410	5862	6136	9834	6047	6327	6265	7804	8335	7325	8802	6982	7998	8698	10728	7238	13471	3054	5781	10384	6311	7933	7472	9830
ENSMUSG00000093895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055296	4520	4933	5026	10255	4646	4004	3406	6696	5580	3244	4667	3225	2012	4508	3922	8515	5403	1797	3453	4345	4375	5160	6911	2408
ENSMUSG00000050215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038697	5534	5249	5963	3886	4309	4807	3847	4626	4181	2994	5809	4174	2816	3888	4638	4427	3599	2025	4062	2610	4716	3836	3008	2448
ENSMUSG00000072605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043801	7	2	3	5	3	1	2	4	7	0	10	4	2	2	5	1	0	0	12	4	2	0	0	2
ENSMUSG00000030657	2298	2057	2358	4379	2731	3079	2536	2128	1608	1023	1469	979	1106	1890	1796	2345	2375	943	1865	2005	1670	2113	1520	1105
ENSMUSG00000027596	1	0	0	1	2	1	0	3	0	0	3	0	5	0	0	0	0	0	0	2	0	2	7	1
ENSMUSG00000115628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057021	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000001763	2193	1871	2242	761	1680	2036	1542	1475	1141	832	1780	2501	1635	1083	1833	718	797	618	1570	579	1847	1263	909	542
ENSMUSG00000106231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095976	11	1	0	11	0	13	8	23	9	22	9	0	0	2	8	2	6	0	17	7	0	14	3	0
ENSMUSG00000051490	0	0	1	0	0	0	0	0	3	0	0	0	1	2	0	0	11	4	2	2	1	7	5	14
ENSMUSG00000046108	8	28	38	18	7	6	8	5	6	12	1	31	14	7	4	9	28	1	26	35	18	8	11	9
ENSMUSG00000078599	51	29	24	78	30	57	26	94	71	39	65	40	26	77	80	72	42	22	23	58	42	81	111	33
ENSMUSG00000083351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029151	2	0	0	0	1	0	3	5	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0
ENSMUSG00000062284	1	2	4	0	0	0	0	3	4	2	7	8	3	9	1	0	2	1	4	5	1	3	10	5
ENSMUSG00000031433	243	234	250	313	271	286	194	314	231	184	495	266	150	543	458	503	295	39	101	250	178	264	588	238
ENSMUSG00000084246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028309	4923	4454	4731	5183	4713	5349	3946	5645	5803	4980	8165	4647	2849	5825	7418	7416	5490	2080	3874	4370	4594	5467	6258	3945
ENSMUSG00000082893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099908	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000530	223	153	214	178	155	142	203	224	309	141	253	200	196	710	223	153	135	213	323	113	411	843	1991	404
ENSMUSG00000090555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	55	0	0
ENSMUSG00000060771	317	184	223	261	457	425	294	198	223	306	367	347	380	581	793	484	447	142	282	352	305	437	644	501
ENSMUSG00000046699	3	0	3	4	1	5	0	6	3	6	2	0	7	7	5	2	4	7	25	4	5	7	10	7
ENSMUSG00000024007	4969	4694	5407	1812	3155	3952	3314	4159	3501	3576	4497	3075	2148	2943	4370	3103	2619	1349	2720	2219	3057	3543	3305	2783
ENSMUSG00000083919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036578	4	0	2	1	4	1	4	1	1	7	2	2	2	2	3	0	0	0	0	0	2	6	35	3
ENSMUSG00000074656	22873	20954	22786	46497	19028	24656	21009	36812	28342	46595	65626	34249	27076	41700	48933	60250	70478	10814	18708	52640	21521	32423	40909	46213
ENSMUSG00000003746	8472	5581	6395	6294	9466	7735	6716	5728	4562	3286	6900	4674	5182	4814	7307	3912	5023	3056	4210	3657	5639	6962	4542	3832
ENSMUSG00000046258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020134	4467	3615	4122	5277	4247	4778	3450	5285	4139	2913	5649	3700	2508	5054	5086	4767	5361	1481	2027	3990	2914	5358	4066	3647
ENSMUSG00000074170	261	221	238	104	150	180	155	121	137	116	168	116	106	182	151	59	217	87	169	172	154	296	538	249
ENSMUSG00000103878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033444	16484	12088	13612	29073	17994	15722	18493	21156	14393	12833	13694	7868	10779	17742	16781	18223	22680	7744	15598	17567	12174	18672	18413	18968
ENSMUSG00000081567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050323	701	696	808	284	556	474	561	566	706	701	799	678	467	573	775	354	549	284	490	412	610	474	654	392
ENSMUSG00000112312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003541	1106	879	1105	1164	801	774	830	1253	1414	1388	1414	1272	1067	3430	1893	1861	1584	869	1665	1236	1621	3413	7024	4286
ENSMUSG00000034269	14739	13086	13877	18239	13797	13171	11944	18063	15575	8446	15020	9141	7574	13632	14533	11523	13460	5258	10541	10620	11849	15427	15249	7914
ENSMUSG00000069265	58	55	59	66	40	46	28	89	63	41	42	125	37	32	36	24	33	22	31	12	35	14	23	20
ENSMUSG00000054737	339	348	331	760	395	446	280	609	484	418	890	424	350	670	437	911	863	168	211	566	283	507	843	492
ENSMUSG00000031667	4742	3901	4261	5036	4688	4106	5025	6397	5453	4649	6449	4108	4090	5251	6278	4066	5600	2045	4189	4427	4556	4954	5774	4518
ENSMUSG00000009207	1054	1018	902	862	893	1119	492	1213	1003	1085	1751	1450	462	1150	1443	2723	937	366	464	671	977	941	973	637
ENSMUSG00000028608	2529	2167	2577	1566	2077	2298	1887	2503	2767	2325	3430	2424	1761	2055	2538	2138	1876	886	2098	1501	2344	2257	2393	1663
ENSMUSG00000054827	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000007989	515	248	246	560	559	315	535	176	838	160	216	119	299	449	866	7	428	59	157	398	111	401	516	255
ENSMUSG00000072295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023170	3407	3078	3649	2211	2268	2846	2572	2958	2975	2397	3563	2658	2121	2539	3156	2514	2462	1528	2775	2021	3386	2859	2961	2243
ENSMUSG00000070999	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0
ENSMUSG00000027676	0	0	0	0	6	2	0	3	8	0	1	0	0	2	0	9	2	0	0	1	0	5	12	6
ENSMUSG00000089953	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0
ENSMUSG00000028541	23	45	49	32	31	18	13	39	42	20	39	16	41	40	23	43	5	33	23	12	36	53	526	34
ENSMUSG00000094846	1	1	0	4	1	4	0	7	3	1	4	0	1	0	2	1	2	1	0	1	1	5	2	0
ENSMUSG00000073514	0	1	1	2	0	1	0	0	1	0	0	2	0	3	0	2	3	0	0	0	1	0	0	0
ENSMUSG00000092387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000017264	5167	5272	5748	3506	3640	4949	4207	4910	5644	4586	8318	4411	3152	4522	6261	5784	3789	2024	4394	2769	4969	4712	4211	3026
ENSMUSG00000020493	1052	1876	1902	517	771	1332	809	1914	873	1333	1554	1032	210	1185	1966	1775	740	292	430	639	887	1406	1161	301
ENSMUSG00000022342	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0
ENSMUSG00000041791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064267	519	263	258	445	283	1072	387	276	350	645	398	191	415	405	178	483	758	471	941	684	2564	3586	885	1516
ENSMUSG00000095648	36	20	40	24	9	80	38	13	12	12	54	23	11	94	12	67	0	7	0	1	0	1	26	0
ENSMUSG00000103860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049130	7	6	13	50	10	16	3	14	20	121	106	24	279	706	135	50	253	317	658	202	1257	2171	3066	2135
ENSMUSG00000027642	54783	55299	63465	42843	46276	48142	45058	41720	51672	42268	58371	40772	24288	33887	61765	40862	39853	21067	43076	30689	49197	30353	32305	23480
ENSMUSG00000058014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031847	177	216	241	224	146	149	106	321	188	197	156	115	81	106	172	250	246	121	185	196	238	132	141	174
ENSMUSG00000079534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021741	1	0	0	0	0	0	2	0	1	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0
ENSMUSG00000018217	52373	30007	33715	25136	50864	47728	43526	29893	12658	21569	15903	14687	18883	22880	26874	36528	41181	22799	40724	32873	19840	34518	29022	42600
ENSMUSG00000070047	30642	33327	36845	58563	28649	23784	21991	41686	24885	16908	18053	17267	7577	21012	17791	46518	28574	14330	27468	23115	34069	23989	30284	11679
ENSMUSG00000083332	0	0	1	0	0	0	0	1	2	4	0	0	0	1	0	0	7	1	0	2	11	0	0	4
ENSMUSG00000044854	37	47	43	27	39	23	45	43	32	29	30	34	52	27	12	21	30	19	42	20	37	47	51	43
ENSMUSG00000048029	2	0	4	0	0	2	3	0	3	2	4	1	6	0	0	2	0	0	3	1	5	0	1	0
ENSMUSG00000074807	159	157	138	92	133	118	118	61	89	64	162	116	88	99	163	53	83	54	69	64	118	111	88	72
ENSMUSG00000091805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031952	55	9	15	4	62	59	8	4	3	0	41	19	0	0	3	3	0	0	0	0	2	0	4	0
ENSMUSG00000022095	3445	3114	3777	3206	3024	3090	2853	4409	3095	2093	3082	2026	1743	2649	3301	3272	2352	1319	2659	1909	2928	3373	3451	2363
ENSMUSG00000079635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074505	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	3	1	0	3	0	5	0
ENSMUSG00000029915	3	4	0	26	0	10	9	11	15	98	63	37	182	746	114	102	156	24	90	122	373	874	839	673
ENSMUSG00000097012	282	278	341	824	183	330	242	406	373	357	575	418	186	344	233	755	503	164	386	357	533	253	238	264
ENSMUSG00000111693	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
ENSMUSG00000028175	330	619	734	306	232	605	234	835	288	585	1058	456	96	813	1162	1525	412	81	165	278	303	500	637	243
ENSMUSG00000050931	6271	4912	5487	5145	7515	7221	6311	5177	4796	2606	7226	4979	3603	4283	7697	4935	3716	1672	2668	3022	3858	5594	3637	2257
ENSMUSG00000021545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020594	10424	9201	9866	11244	10361	10896	7498	9646	10214	8717	17029	8362	6862	12694	15159	13939	11185	3589	5827	8736	9417	11940	12752	8220
ENSMUSG00000071550	15	11	13	20	13	19	8	44	6	26	34	23	3	16	6	56	9	1	2	12	10	23	38	10
ENSMUSG00000041193	3803	7738	8676	4871	2223	3719	2636	6685	10166	6558	16688	5148	1642	8306	8412	8896	7716	3533	7044	5996	6633	4814	4392	4598
ENSMUSG00000094945	4	0	0	0	0	4	0	0	0	0	2	0	0	1	6	0	0	8	20	0	0	0	0	5
ENSMUSG00000047040	44914	40340	45168	44856	36940	34138	39710	25082	30888	24694	29174	27449	31227	23082	30803	16784	35923	22574	45234	29115	35106	27492	19496	44580
ENSMUSG00000029381	33302	34388	38657	43176	30498	25477	24058	29652	25387	14224	26582	15550	10661	21263	26973	24753	21220	10176	18795	17868	20258	14447	15608	13041
ENSMUSG00000025780	19659	20467	22464	33078	15297	23119	9946	22668	15367	15777	29766	28842	4897	7498	8747	35885	14431	6732	12853	11639	18879	5296	7065	5109
ENSMUSG00000026475	584	266	299	101	333	293	304	173	179	124	386	285	225	160	180	212	144	144	231	91	311	184	545	349
ENSMUSG00000056737	8342	13157	15362	12427	5222	7870	6314	13794	10720	27915	11313	8813	9935	16155	16365	26956	20112	17144	34095	16848	30386	15151	30118	36347
ENSMUSG00000106226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041219	2986	3764	4169	2455	2797	3256	2449	4366	2422	2540	3627	2001	1167	3877	5858	5222	2658	649	1247	1907	1899	3517	3467	1515
ENSMUSG00000103518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
ENSMUSG00000091775	1	0	2	0	0	1	0	0	0	0	2	2	0	2	0	0	1	0	0	1	0	1	0	0
ENSMUSG00000089832	5260	5979	6755	5361	3522	4739	3783	5201	5140	4455	4845	3754	3045	3455	4144	5047	3905	2747	5597	3240	5654	3945	3826	4167
ENSMUSG00000100590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047787	8	9	6	7	20	13	6	10	1	7	8	6	11	3	4	35	8	2	1	0	16	14	5	3
ENSMUSG00000079481	8	7	15	15	5	9	5	14	5	6	33	25	30	135	25	11	20	41	80	5	196	229	251	131
ENSMUSG00000115760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029032	16250	15482	17695	15996	12312	12347	12625	13600	13564	10462	16194	11228	9858	13074	14020	16906	11757	8478	16288	9513	14316	9762	10252	12903
ENSMUSG00000016541	2108	2262	2308	956	1543	2080	1727	1744	1852	1718	2782	2072	1509	1720	2363	1413	1340	1248	2361	1070	3342	3609	4673	2673
ENSMUSG00000039047	4879	4056	4599	3879	4216	4766	3907	4887	4629	3330	5730	4135	3018	4547	6155	5083	3590	1477	2861	2895	3991	3953	3625	2864
ENSMUSG00000025925	1101	1305	1424	938	1114	1392	957	2138	1363	1997	2155	1350	704	1802	2458	2334	1516	410	870	1325	1297	1900	1816	1120
ENSMUSG00000100940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027552	2756	1718	1834	2178	2688	2291	2146	3403	2712	2397	3032	2458	2018	2586	2847	1683	2431	1072	2005	1864	2624	2440	2484	1701
ENSMUSG00000037924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000089989	42	0	0	0	0	23	0	17	73	0	0	6	0	0	0	6	0	0	0	0	0	24	0	0
ENSMUSG00000039738	1349	1368	1427	1133	1056	1184	699	1947	1358	1049	1490	774	531	1319	1236	2174	933	514	1053	889	1310	1686	1569	780
ENSMUSG00000042298	1512	888	972	1405	1512	1326	1223	1716	1805	1272	2056	1497	1383	2092	1998	1531	1635	537	1257	1329	1329	1672	1770	1143
ENSMUSG00000060579	349	414	486	289	206	243	265	199	327	248	468	604	324	273	260	300	360	142	303	324	263	319	306	253
ENSMUSG00000031111	0	3	3	10	5	5	3	1	0	2	2	0	0	0	6	0	4	1	1	1	2	0	10	3
ENSMUSG00000022218	14	9	7	31	2	14	4	8	8	39	42	4	53	182	44	179	86	165	354	48	845	965	1073	786
ENSMUSG00000100018	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
ENSMUSG00000026028	7443	4601	5172	7105	8014	5878	6913	6019	5351	3521	5459	4056	6788	4942	8679	3224	6903	2426	4434	5272	4961	5995	7334	4754
ENSMUSG00000024044	5662	3917	4369	9515	4671	4074	4559	5019	6643	3341	7784	5567	4102	6776	4576	4470	4700	1654	2874	3664	3250	5632	4142	3539
ENSMUSG00000079638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020037	0	1	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	3	3	0	4	0	0
ENSMUSG00000041849	2065	1595	1841	2151	1702	1574	1198	2001	2271	1650	2850	1626	1376	1503	1368	1969	2201	909	1877	1907	2659	2711	1729	1432
ENSMUSG00000066258	43	27	34	53	34	31	22	71	36	19	30	23	10	82	23	94	47	9	72	36	80	53	100	21
ENSMUSG00000032757	2849	1832	1916	1799	2920	2499	1946	2255	2418	1982	4272	2339	1784	2632	3715	2170	2300	739	934	1834	1453	2934	2634	1608
ENSMUSG00000046282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000052921	45	47	64	110	107	81	47	203	141	49	86	57	46	130	77	198	70	38	114	50	148	146	366	52
ENSMUSG00000052056	5841	5048	5750	8284	4617	4940	4425	5583	6041	3290	5983	4095	2247	5290	4781	6446	5879	2941	5054	4820	4799	5393	5320	4175
ENSMUSG00000020799	22	6	7	11	17	31	23	6	18	11	5	6	8	5	21	3	5	0	6	6	7	4	8	2
ENSMUSG00000037126	98	77	62	89	55	88	48	83	106	49	56	52	57	57	73	95	54	60	133	48	125	115	263	41
ENSMUSG00000028803	10061	8637	9660	8070	8194	7071	7851	6872	6908	4829	7549	4953	4935	4918	7100	4535	6424	3770	7816	5302	7631	5374	4605	4202
ENSMUSG00000023978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108686	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000008035	11309	10267	11651	9400	9173	11193	8400	12899	12693	8282	15505	11627	4908	8611	9995	11097	7171	3794	6803	5936	8250	6149	7686	7178
ENSMUSG00000081422	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000022836	6060	3806	4202	7286	6098	4934	7111	4124	5178	3316	3664	4019	5849	6700	7137	7016	5595	1975	3369	4471	3187	3581	7893	4573
ENSMUSG00000028291	3701	2747	3126	2227	2606	2587	2189	3102	2662	2797	3171	2321	1818	2214	3338	2117	2644	1649	2849	2158	2725	2595	2927	2483
ENSMUSG00000079633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047420	1	1	2	2	0	5	1	0	0	1	0	3	0	1	8	0	3	0	0	8	8	8	24	2
ENSMUSG00000060105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054005	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	1	0
ENSMUSG00000028332	0	0	0	1	0	0	0	0	0	1	2	0	2	0	0	1	0	0	0	2	0	5	0	0
ENSMUSG00000071770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029186	10567	6875	7410	9203	11662	10426	8479	12571	8747	7297	12742	10988	7056	10817	15689	9224	9277	3176	4829	7431	6240	9487	8681	7440
ENSMUSG00000000738	11749	9356	11134	10623	10155	9398	9869	9851	9768	6205	9838	7671	6033	6742	10172	7124	7069	4035	8507	5530	7689	6700	6330	5607
ENSMUSG00000030433	6	4	6	3	0	6	0	3	2	0	1	1	1	1	6	4	0	0	0	0	2	2	3	0
ENSMUSG00000066543	1	1	0	0	6	0	1	0	10	5	0	10	8	0	1	1	0	0	6	1	3	0	0	0
ENSMUSG00000030069	0	0	0	1	0	0	0	0	0	0	0	0	97	231	18	0	24	249	456	18	1541	2491	1997	2518
ENSMUSG00000010476	24	80	74	21	54	40	57	26	31	24	34	18	28	58	27	5	19	24	36	24	39	35	65	23
ENSMUSG00000030499	194	69	84	76	104	97	114	50	106	30	65	52	88	80	114	36	48	80	87	51	88	164	171	53
ENSMUSG00000109837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034586	18832	16320	18232	7850	12406	16891	8362	13696	11087	6322	20332	15653	4041	4657	9542	8533	5458	4160	8000	4301	10112	5102	4476	2721
ENSMUSG00000094146	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
